Database	TOTAL
Words	557561
total     2126634
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
I	89786	4.221977e-02	3.012385e-01	2.836745e-02	6.578420e-01	5.596301e-02	3.280285e-02	3.000000e-02	5.000000e-02	7.000000e-02	5.679003e-02	3.376236e-02	3.000000e-02	5.000000e-02	7.000000e-02	4.968590e-02	3.980016e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.611530e-02	3.211788e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.232032e-02	2.087150e-02	3.000000e-02	3.000000e-02	5.000000e-02
N	19097	8.979919e-03	6.231345e-03	5.576792e-01	4.360894e-01	1.045916e-01	1.627385e-01	5.000000e-02	7.000000e-02	1.000000e-01	2.755599e-01	4.546752e-01	4.000000e-02	9.006250e-02	2.100000e-01	1.263420e-01	1.964280e-01	5.000000e-02	8.000000e-02	1.200000e-01	7.433390e-02	8.076700e-02	4.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
O	29686	1.395915e-02	5.945564e-02	3.095735e-02	9.095870e-01	7.353888e-02	3.804550e-02	5.000000e-02	7.000000e-02	9.000000e-02	8.985836e-02	5.546477e-02	6.000000e-02	8.000000e-02	1.100000e-01	6.739390e-02	4.049642e-02	4.000000e-02	6.000000e-02	8.000000e-02	7.268129e-02	3.626536e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Q	44399	2.087759e-02	9.140972e-01	1.171198e-03	8.473164e-02	6.945765e-02	6.936133e-02	4.000000e-02	5.000000e-02	8.000000e-02	7.079427e-02	6.989403e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.831731e-01	2.212177e-01	6.000000e-02	9.000000e-02	2.025000e-01	5.346624e-02	5.441380e-02	3.000000e-02	3.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
S	21569	1.014232e-02	5.072094e-01	4.219018e-02	4.479114e-01	8.255390e-02	4.154874e-02	5.000000e-02	8.000000e-02	1.100000e-01	8.313483e-02	4.074066e-02	5.000000e-02	8.000000e-02	1.100000e-01	1.081538e-01	8.006047e-02	5.250000e-02	9.000000e-02	1.400000e-01	7.948246e-02	3.583984e-02	5.000000e-02	8.000000e-02	1.000000e-01	8.293103e-02	5.136757e-02	3.625000e-02	7.000000e-02	1.187500e-01
U	33265	1.564209e-02	3.404479e-01	4.629490e-03	6.502630e-01	7.087028e-02	4.272674e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.576159e-02	4.330592e-02	4.000000e-02	7.000000e-02	9.000000e-02	5.318182e-02	3.829631e-02	3.000000e-02	4.000000e-02	6.000000e-02	6.862651e-02	4.224978e-02	4.000000e-02	6.000000e-02	8.000000e-02	4.419355e-02	2.740085e-02	3.000000e-02	3.000000e-02	5.000000e-02
Y	13118	6.168433e-03	1.143467e-03	7.180973e-02	9.270468e-01	5.292082e-02	3.146555e-02	3.000000e-02	5.000000e-02	6.000000e-02	3.066667e-02	2.581989e-03	3.000000e-02	3.000000e-02	3.000000e-02	4.976135e-02	3.050298e-02	3.000000e-02	4.000000e-02	5.000000e-02	5.319300e-02	3.153622e-02	3.000000e-02	5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Z	279	1.311932e-04	1.433692e-02	3.584229e-03	9.820789e-01	5.627240e-02	3.162979e-02	3.000000e-02	4.000000e-02	8.000000e-02	5.000000e-02	8.164966e-03	4.750000e-02	5.000000e-02	5.250000e-02	9.000000e-02	0.000000e+00	9.000000e-02	9.000000e-02	9.000000e-02	5.624088e-02	3.183221e-02	3.000000e-02	4.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
a	93384	4.391165e-02	1.617943e-01	3.473828e-02	8.017326e-01	7.803478e-02	4.721682e-02	5.000000e-02	7.000000e-02	9.500000e-02	8.421504e-02	4.514024e-02	5.000000e-02	8.000000e-02	1.100000e-01	1.012330e-01	9.511466e-02	4.000000e-02	8.000000e-02	1.300000e-01	7.579960e-02	4.401278e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.009259e-02	4.536762e-02	4.000000e-02	6.000000e-02	9.000000e-02
b	40569	1.907663e-02	4.774828e-01	9.100545e-02	4.314131e-01	5.089588e-02	2.157928e-02	3.000000e-02	5.000000e-02	6.000000e-02	5.425327e-02	2.223812e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.073808e-02	1.528660e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.931779e-02	2.111331e-02	3.000000e-02	4.000000e-02	6.000000e-02	7.250000e-02	3.304038e-02	4.750000e-02	7.000000e-02	9.500000e-02
