Database	TOTAL
9        0 7.738739e-04 0 1.916112e-01 1.547748e-04 0*2 1.547748e-04 0*4 6.810091e-03 4.643243e-04 1.547748e-04 0*4 1.919208e-02 0*8 1.702523e-03 0*2 1.207243e-02 1.547748e-04 0*2 1.083424e-03 4.643243e-04 1.547748e-03 1.598824e-01 1.324873e-01 4.254759e-01 0*2 2.182325e-02 3.095497e-04 1.392973e-03 2.166848e-03 0*2 1.934685e-02 0*3 6.190991e-04 1.547748e-04
9~       0 1.851852e-02*54
a         0 6.458178e-03 2.998823e-04 6.426047e-05 3.641426e-04 1.071008e-05 0 9.746170e-04 2.995609e-02 3.213025e-05 0*2 1.542251e-03 1.702903e-03 8.889367e-04 1.071008e-05 2.249116e-04 0*2 2.998823e-04 0*2 1.145978e-03 2.998823e-04 4.391132e-04 3.427225e-04 0 5.194387e-03 4.466103e-03 1.071008e-05 3.641426e-04 9.296349e-03 2.934561e-03 1.167399e-02 0 3.213025e-05 3.148763e-03 7.871908e-03 1.049373e-01 8.691229e-02 2.943879e-01 0 1.392310e-04 3.554675e-02 4.097676e-02 2.048088e-01 4.227268e-02 7.497056e-05 1.071008e-05 2.142016e-03 7.000107e-02 0 6.426047e-05 2.554353e-02 2.131306e-03
a:        0 5.461825e-02 1.375328e-03 3.812792e-04 3.431513e-03 0*2 1.766140e-02 2.252271e-02 4.085135e-04 0*2 1.397116e-02 5.923445e-03 4.861309e-03 1.361711e-05 1.593202e-03 0 1.361711e-05 1.684437e-02 0*2 1.150646e-02 6.141319e-03 4.793225e-03 6.508979e-03 0 1.164672e-01 5.337909e-02 0 1.102986e-03 1.600011e-02 6.895707e-02 2.404782e-02 0 4.085135e-04 5.773658e-03 1.207021e-01 6.334681e-02 7.327368e-02 4.322073e-02 0 6.808558e-04 5.828124e-03 9.450277e-02 9.082615e-03 1.737544e-02 1.361711e-05 5.446843e-05 2.120185e-02 6.024211e-02 0 5.991531e-04 1.074390e-02 2.042567e-02
aI        0 1.638489e-02 2.963891e-03 7.284492e-02 6.053015e-04 0*2 5.886037e-03 2.354415e-02 1.669798e-04 0*2 8.599456e-03 1.279482e-02 6.929661e-03 0*4 8.578585e-03 0*2 2.087247e-03 4.383218e-04 9.392611e-04 8.766435e-04 0 8.244624e-03 4.558547e-02 0 3.757044e-04 4.863285e-03 9.329993e-03 6.867042e-03 0 1.840952e-02 1.899395e-03 5.865164e-03 2.895012e-02 7.950323e-02 3.437696e-01 0 5.009392e-04 5.906908e-03 1.210603e-03 4.877897e-02 1.810687e-01 0 5.635567e-04 6.407847e-03 0*2 8.348987e-05 2.951367e-02 8.662073e-03
aU        0 2.166499e-02 2.041124e-02 5.015045e-05 8.525576e-04 0*2 2.607824e-03 1.504513e-03 9.528584e-04 0*2 6.268806e-03 1.619859e-02 2.156470e-03 0*4 2.106319e-02 0*2 3.259780e-03 7.021065e-04 1.855567e-03 4.012036e-04 0 2.873621e-02 1.278836e-02 0 2.006018e-04 1.736209e-01 4.508526e-02 7.522568e-03 0 1.003009e-04 2.808426e-03 9.277834e-03 3.610832e-03 2.146439e-02 5.060181e-02 0 1.705115e-03 5.712136e-02 2.306921e-03 1.836008e-01 3.365095e-02 0 4.513540e-04 8.826479e-03 2.237212e-01 0 1.003009e-04 1.840521e-02 1.434303e-02
a~        0*16 8.125000e-01 0*15 1.875000e-01 0*22
b         0 6.408834e-03 1.546501e-01 1.799403e-03 4.113978e-02 2.957924e-04 0 2.610860e-01 0 4.091794e-03 8.627278e-04 0 1.232468e-03 8.627278e-04 1.380364e-02 1.405014e-03 0*2 3.697404e-04 1.479948e-01 3.943899e-04 0 9.982991e-03 5.026005e-02 1.391949e-01 5.373561e-03 0 3.697404e-04 4.535482e-03 4.929874e-05 9.440706e-03 6.655327e-04 9.120263e-04 1.405014e-03 2.489586e-03 1.557840e-02 1.059923e-03 3.204418e-04 2.879045e-02 1.964554e-02 2.908624e-03 3.450911e-04 3.007223e-03 2.464936e-05 4.325963e-02 2.021248e-03 6.655327e-04 1.232468e-04 1.476497e-02 9.613251e-04 0 1.922650e-03 2.095196e-03 1.405014e-03 2.464936e-05
d         0 9.707076e-04 7.391082e-02 1.142008e-04 3.649860e-02 1.142009e-05 0 2.397077e-02 0 4.301947e-02 1.404671e-03 0 2.169817e-04 2.626621e-04 8.884828e-03 1.027808e-03 1.119168e-03 0 1.027808e-04 7.703991e-02 2.284017e-05 0 2.899446e-01 9.327927e-02 7.308858e-04 4.830696e-03 0 1.027808e-04 3.768630e-04 6.246788e-03 1.412094e-01 4.910638e-04 1.713013e-04 1.827214e-04 3.917091e-03 1.032033e-01 1.610232e-03 6.852054e-05 6.440929e-03 8.793468e-04 1.483469e-02 3.540228e-04 8.679268e-04 1.142009e-05 4.774738e-02 1.496031e-03 1.941414e-04 1.027808e-03 9.570035e-03 2.626621e-04 0 1.142009e-05 1.713013e-04 1.187689e-03 0
e         0 9.040538e-03 0 2.916301e-04*2 0*2 8.748905e-04 0 5.832606e-04 0*2 8.107320e-02 1.458151e-03 2.916301e-04 0 2.041412e-03 0*2 1.458151e-03 0*2 2.333042e-03 5.832603e-03 0 2.916301e-04 0 2.566346e-02 1.137358e-02 0*2 5.628464e-02 7.728200e-02 1.458151e-03 0 2.916301e-04*2 5.365996e-02 1.079032e-01 8.661418e-02 2.128900e-02 4.432779e-02 0 1.312336e-02 5.920093e-02 1.166521e-03 1.802275e-01 0*2 6.065908e-02 0*2 2.916301e-04 8.865558e-02 4.374452e-03
