Database	TOTAL
Words	557561
total     2056487
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
I	86636	4.212815e-02	3.030842e-01	2.939886e-02	6.545085e-01	5.659807e-02	3.297067e-02	4.000000e-02	5.000000e-02	7.000000e-02	5.709860e-02	3.385710e-02	3.000000e-02	5.000000e-02	7.000000e-02	4.968590e-02	3.980016e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.696053e-02	3.230895e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.232032e-02	2.087150e-02	3.000000e-02	3.000000e-02	5.000000e-02
N	19097	9.286225e-03	6.231345e-03	5.576792e-01	4.360894e-01	1.045916e-01	1.627385e-01	5.000000e-02	7.000000e-02	1.000000e-01	2.755599e-01	4.546752e-01	4.000000e-02	9.006250e-02	2.100000e-01	1.263420e-01	1.964280e-01	5.000000e-02	8.000000e-02	1.200000e-01	7.433390e-02	8.076700e-02	4.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
O	26565	1.291766e-02	4.607566e-02	3.459439e-02	9.193300e-01	7.343667e-02	3.771175e-02	5.000000e-02	7.000000e-02	9.000000e-02	9.125000e-02	6.227092e-02	6.000000e-02	8.000000e-02	1.100000e-01	6.739390e-02	4.049642e-02	4.000000e-02	6.000000e-02	8.000000e-02	7.277127e-02	3.568493e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Q	44399	2.158973e-02	9.140972e-01	1.171198e-03	8.473164e-02	6.945765e-02	6.936133e-02	4.000000e-02	5.000000e-02	8.000000e-02	7.079427e-02	6.989403e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.831731e-01	2.212177e-01	6.000000e-02	9.000000e-02	2.025000e-01	5.346624e-02	5.441380e-02	3.000000e-02	3.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
S	21569	1.048827e-02	5.072094e-01	4.219018e-02	4.479114e-01	8.255390e-02	4.154874e-02	5.000000e-02	8.000000e-02	1.100000e-01	8.313483e-02	4.074066e-02	5.000000e-02	8.000000e-02	1.100000e-01	1.081538e-01	8.006047e-02	5.250000e-02	9.000000e-02	1.400000e-01	7.948246e-02	3.583984e-02	5.000000e-02	8.000000e-02	1.000000e-01	8.293103e-02	5.136757e-02	3.625000e-02	7.000000e-02	1.187500e-01
U	31697	1.541318e-02	3.571631e-01	4.858504e-03	6.330883e-01	7.224816e-02	4.301074e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.575568e-02	4.330378e-02	4.000000e-02	7.000000e-02	9.000000e-02	5.318182e-02	3.829631e-02	3.000000e-02	4.000000e-02	6.000000e-02	7.063238e-02	4.276527e-02	4.000000e-02	6.000000e-02	8.000000e-02	4.419355e-02	2.740085e-02	3.000000e-02	3.000000e-02	5.000000e-02
Y	9289	4.516926e-03	1.076542e-04	1.014103e-01	8.984820e-01	5.715312e-02	3.367494e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02	4.976135e-02	3.050298e-02	3.000000e-02	4.000000e-02	5.000000e-02	5.798947e-02	3.391646e-02	4.000000e-02	5.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Z	279	1.356683e-04	1.433692e-02	3.584229e-03	9.820789e-01	5.627240e-02	3.162979e-02	3.000000e-02	4.000000e-02	8.000000e-02	5.000000e-02	8.164966e-03	4.750000e-02	5.000000e-02	5.250000e-02	9.000000e-02	0.000000e+00	9.000000e-02	9.000000e-02	9.000000e-02	5.624088e-02	3.183221e-02	3.000000e-02	4.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
a	93356	4.539586e-02	1.616500e-01	3.474870e-02	8.018660e-01	7.803666e-02	4.721690e-02	5.000000e-02	7.000000e-02	9.500000e-02	8.421874e-02	4.513461e-02	5.000000e-02	8.000000e-02	1.100000e-01	1.012330e-01	9.511466e-02	4.000000e-02	8.000000e-02	1.300000e-01	7.580238e-02	4.401323e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.009259e-02	4.536762e-02	4.000000e-02	6.000000e-02	9.000000e-02
b	40569	1.972733e-02	4.774828e-01	9.100545e-02	4.314131e-01	5.089588e-02	2.157928e-02	3.000000e-02	5.000000e-02	6.000000e-02	5.425327e-02	2.223812e-02	4.000000e-02	5.000000e-02	7.000000e-02	4.073808e-02	1.528660e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.931779e-02	2.111331e-02	3.000000e-02	4.000000e-02	6.000000e-02	7.250000e-02	3.304038e-02	4.750000e-02	7.000000e-02	9.500000e-02
d	87566	4.258038e-02	7.790238e-01	2.022474e-02	1.981819e-01	4.908766e-02	2.883413e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.114680e-02	3.010100e-02	3.000000e-02	4.000000e-02	6.000000e-02	4.230382e-02	1.940145e-02	3.000000e-02	3.500000e-02	5.000000e-02	4.178230e-02	2.262492e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.164444e-02	2.465762e-02	3.000000e-02	3.000000e-02	4.000000e-02
e	3424	1.664975e-03	0.000000e+00	3.037383e-02	9.681659e-01	6.612150e-02	3.514314e-02	4.000000e-02	6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.682692e-02	7.875875e-02	5.000000e-02	7.000000e-02	1.200000e-01	6.512519e-02	3.240707e-02	4.000000e-02	6.000000e-02	8.000000e-02	8.800000e-02	3.346640e-02	8.000000e-02	8.000000e-02	1.200000e-01
f	55488	2.698194e-02	5.874243e-01	1.135741e-01	2.909818e-01	9.428472e-02	6.969514e-02	6.000000e-02	8.500000e-02	1.100000e-01	9.533318e-02	6.354755e-02	6.000000e-02	9.000000e-02	1.200000e-01	1.049040e-01	1.208922e-01	5.000000e-02	7.000000e-02	1.150000e-01	8.778150e-02	5.083285e-02	6.000000e-02	8.000000e-02	1.100000e-01	1.030562e-01	7.694247e-02	7.000000e-02	9.000000e-02	1.200000e-01
g	39928	1.941563e-02	6.241485e-01	1.139551e-02	3.641555e-01	5.412530e-02	2.835287e-02	3.000000e-02	5.000000e-02	7.000000e-02	5.778761e-02	2.962669e-02	3.000000e-02	5.000000e-02	7.000000e-02	4.553846e-02	2.346584e-02	3.000000e-02	4.000000e-02	5.000000e-02	4.811967e-02	2.497924e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.083333e-02	2.906367e-02	3.000000e-02	3.500000e-02	6.000000e-02
h	28434	1.382649e-02	6.955757e-01	6.151087e-02	2.427376e-01	9.424253e-02	1.404361e-01	3.000000e-02	6.000000e-02	9.000000e-02	8.819477e-02	1.294284e-01	3.000000e-02	5.000000e-02	8.000000e-02	2.258865e-01	2.502484e-01	8.000000e-02	1.300000e-01	2.800000e-01	7.819915e-02	1.123610e-01	3.000000e-02	5.000000e-02	8.000000e-02	1.140000e-01	1.234099e-01	4.000000e-02	8.000000e-02	9.000000e-02
i	6691	3.253607e-03	0.000000e+00	2.945748e-01	7.054252e-01	8.318263e-02	6.160515e-02	4.000000e-02	6.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.444825e-01	7.454438e-02	9.000000e-02	1.300000e-01	1.900000e-01	5.758475e-02	2.890847e-02	4.000000e-02	4.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
j	22488	1.093515e-02	8.932764e-01	1.427428e-02	9.218250e-02	1.123083e-01	1.191204e-01	5.000000e-02	8.000000e-02	1.200000e-01	1.149574e-01	1.202744e-01	5.000000e-02	9.000000e-02	1.300000e-01	1.964642e-01	2.115110e-01	7.000000e-02	9.000000e-02	2.500000e-01	7.352629e-02	6.384829e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.400000e-01	2.032732e-01	2.250000e-02	3.500000e-02	1.600000e-01
k	42534	2.068284e-02	3.349556e-01	2.845723e-01	3.801900e-01	7.671745e-02	4.045943e-02	5.000000e-02	7.000000e-02	1.000000e-01	8.719169e-02	3.663855e-02	6.000000e-02	9.000000e-02	1.100000e-01	7.063698e-02	4.674543e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.203760e-02	3.660344e-02	4.000000e-02	7.000000e-02	9.000000e-02	8.083333e-02	4.776045e-02	5.000000e-02	7.500000e-02	1.025000e-01
l	58655	2.852194e-02	9.821840e-02	1.998977e-01	7.018328e-01	7.599006e-02	1.112286e-01	4.000000e-02	5.000000e-02	8.000000e-02	7.382088e-02	9.399290e-02	4.000000e-02	6.000000e-02	8.000000e-02	9.894042e-02	1.345596e-01	4.000000e-02	6.000000e-02	1.100000e-01	6.974781e-02	1.050854e-01	3.000000e-02	5.000000e-02	7.000000e-02	2.000000e-01	1.652271e-01	1.050000e-01	1.200000e-01	2.550000e-01
